Item,Subject,List,Anaphor,Antecedent,Emphasis,Sentence2,Sentence1,Word_Number,Word,DV
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,1,Joy,250
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,1,During,201
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,2,met,363
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,2,the,180
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,3,with,219
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,3,"discussion,",216
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,4,Mike,379
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,4,Joy,329
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,5,to,.
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,5,agreed,.
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,6,review,.
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,6,with,464
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,7,a,255
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,7,all,.
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,8,project,277
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,8,proposed,823
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,9,proposal.,168
13,subj2,2,Name,Subject,Plain,"During the discussion, Joy agreed with all proposed changes.",Joy met with Mike to review a project proposal.,9,changes.,395
